Study_area,term,term_type,frac,ax1,ax2,tier
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation x geocenter,interaction,5.23350675314073e-06,truncation,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),filter x gia_model,interaction,4.82330478358295e-16,filter,gia_model,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),filter x c20_treatment,interaction,8.95982352342572e-08,filter,c20_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),filter x c30_treatment,interaction,1.77647097929649e-08,filter,c30_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),filter x geocenter,interaction,2.23786531938492e-06,filter,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),gia_model x c20_treatment,interaction,4.93856758172005e-16,gia_model,c20_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),gia_model x c30_treatment,interaction,3.56455744719639e-16,gia_model,c30_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),gia_model x geocenter,interaction,-1.58885334047438e-15,gia_model,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),c20_treatment x c30_treatment,interaction,2.0040764878019e-16,c20_treatment,c30_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),c20_treatment x geocenter,interaction,-1.58885334047438e-15,c20_treatment,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),c30_treatment x geocenter,interaction,-1.81583238911358e-15,c30_treatment,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),higher-order,residual,0.00455018859373139,,,tier1
Arrowsmith and Dandaragan Plateau (Perth Basin),centre,main,0.0383812273658542,centre,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation,main,0.0189093117546613,truncation,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),filter,main,0.268453563098214,filter,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),gia_model,main,0.152386936589315,gia_model,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),c20_treatment,main,0.00155393676639058,c20_treatment,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),c30_treatment,main,0.000100111792147406,c30_treatment,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),geocenter,main,0.456997404360589,geocenter,,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x truncation,interaction,0.00168104042638598,centre,truncation,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x filter,interaction,0.041085062467606,centre,filter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x gia_model,interaction,1.46174958944346e-12,centre,gia_model,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x c20_treatment,interaction,0.000506359589009898,centre,c20_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x c30_treatment,interaction,5.85991796192585e-06,centre,c30_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),centre x geocenter,interaction,5.12066678689376e-06,centre,geocenter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation x filter,interaction,0.016909152991448,truncation,filter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation x gia_model,interaction,3.00972861007462e-14,truncation,gia_model,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation x c20_treatment,interaction,3.78041849008338e-06,truncation,c20_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation x c30_treatment,interaction,1.77512783119932e-07,truncation,c30_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),truncation x geocenter,interaction,3.48081374739538e-06,truncation,geocenter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),filter x gia_model,interaction,1.76627265849449e-17,filter,gia_model,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),filter x c20_treatment,interaction,4.24515265217031e-08,filter,c20_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),filter x c30_treatment,interaction,1.08818458656993e-08,filter,c30_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),filter x geocenter,interaction,1.39188348269722e-06,filter,geocenter,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),gia_model x c20_treatment,interaction,-5.5196020577953e-19,gia_model,c20_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),gia_model x c30_treatment,interaction,5.6920896221014e-18,gia_model,c30_treatment,tier2
Arrowsmith and Dandaragan Plateau (Perth Basin),gia_model x geocenter,interaction,7.06509063397798e-17,gia_model,geocenter,tier2
