Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Western Karoo Basin (Main Karoo Basin),1.83532515151969,0.0706391884285274,146433,21.943352339077,-30.7681497288517,54,0.05,Africa,stable,other (new),tier1,1.33120909090909,0.128945351909922,arid,0.05
Middle Gangetic Plain (Indo-Gangetic Plain),0.351330745525744,0.679511921412402,145648,84.782614957168,26.1358040659066,101,0.05,S Asia,stable,IGP,tier1,1.32407272727273,0.807758476035537,humid,0.05
Northern Mega Aquifer System (Mega Aquifer System),0.54409870982423,0.597604505668763,143434,43.442314387262,30.9182773228626,1,-0.03,Mid East,stable,other (new),tier1,1.30394545454545,0.0347966908106001,arid,0.03
Canning Basin,9.03151695514121,0.0267579736715719,130597,122.80220364525,-19.3667605544481,23,0.03,Oceania,stable,other (new),tier1,1.18724545454545,0.200395311727174,semi-arid,0.03
Central Karoo Basin (Main Karoo Basin),1.11399025767367,0.130066806479593,128536,27.5336023010548,-30.3464150203532,9,0,Africa,stable,other (new),tier1,1.16850909090909,0.48554486727702,semi-arid,0
Southern Carpentaria Basin (Great Artesian Basin),1.2759131019775,0.139763098574614,124001,140.712904222328,-18.549569033649,89,0.03,Oceania,stable,other (new),tier1,1.12728181818182,0.313988796487739,semi-arid,0.03
Eastern Parecis Basin (Parecis Basin),0.476049765193929,0.394565900458618,118059,-53.4555218259645,-11.9506002165003,1,0.12,S America,deepening,other (new),tier1,1.07326363636364,1.38891764051236,humid,0.12
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),0.990478081195885,0.163550668938176,117926,-41.9185847263772,-5.82104274227647,9,0.17,S America,deepening,other (new),tier1,1.07205454545455,0.735120781636376,humid,0.17
Wiso Basin (Daly-Wiso-Georgina Basins),1.35182568666013,0.409525770672695,116966,132.26713802247,-18.3596642124762,1,-0.22,Oceania,shallowing,other (new),tier1,1.06332727272727,0.20541533739349,semi-arid,0.22
Northern Georgina Basin (Daly-Wiso-Georgina Basins),0.931718811069274,0.41142703356107,116661,134.927386993097,-17.9131258050471,1,0.1,Oceania,stable,other (new),tier1,1.06055454545455,0.237780954075687,semi-arid,0.1
Dakota Aquifer System,1.61537577007504,0.269654488032693,110336,-99.1166818106529,44.5218958161265,49,-0.01,N America,stable,other (new),tier1,1.00305454545455,0.432770637938319,semi-arid,0.01
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),1.3123269911502,0.16639946075655,107715,134.624067411426,-28.9905387654296,30,0.02,Oceania,stable,other (new),tier1,0.979227272727273,0.0702764038764115,arid,0.02
Trans Gangetic Plain (Indo-Gangetic Plain),1.04876714026603,2.62935643400395,100322,75.927985314064,29.7481368230866,422,0.17,S Asia,deepening,IGP,tier1,0.912018181818182,0.377598718529017,semi-arid,0.17
Southcentral Mega Aquifer System (Mega Aquifer System),1.60148780410163,0.175576451680654,89916,49.6393107315888,24.5367069092908,9,0.22,Mid East,deepening,other (new),tier1,0.817418181818182,0.0279511644832606,hyper-arid,0.22
Central Mississippi Embayment (Mississippi Embayment),2.32557442257509,0.157514679435668,89580,-90.8765618368462,34.4311006178087,1844,0.01,N America,stable,other (new),tier1,0.814363636363636,1.02169553813449,humid,0.01
Northern Karoo Basin (Main Karoo Basin),1.19478895173247,0.168308182130551,89072,25.8598129629715,-28.7643748464015,33,0.12,Africa,deepening,other (new),tier1,0.809745454545455,0.288414622951926,semi-arid,0.12
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2.57858503856061,0.198257777677928,87887,-91.9686784194515,41.7323216691694,91,0.03,N America,stable,other (new),tier1,0.798972727272727,0.862367458671652,humid,0.03
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),0.884714317059979,0.190940654233997,81429,142.613002508794,-16.2884417432858,3,-0.08,Oceania,stable,other (new),tier1,0.740263636363636,0.518528708278713,dry sub-humid,0.08
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.495365572872284,0.473016268224053,81286,76.7633955346208,15.3733213872061,303,0.18,S Asia,deepening,other (new),tier1,0.738963636363636,0.345970244461809,semi-arid,0.18
Central Huaihe Plain (Huaihe River Basin),1.40752358262916,0.380302814072964,79573,115.718872122583,33.9028950593564,61,0.17,E Asia,deepening,other (new),tier1,0.723390909090909,0.662863474259934,humid,0.17
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2.39878827089366,0.322508266934809,75252,-94.475076895903,46.6560199290738,256,-0.01,N America,stable,other (new),tier1,0.684109090909091,0.803030276122508,humid,0.01
Southern High Plains (High Plains),0.726614510405892,1.04739968979984,74884,-102.515008660682,33.6665162036171,3143,0.14,N America,deepening,HP,tier1,0.680763636363636,0.225141109987792,semi-arid,0.14
Southcentral Karoo Basin (Main Karoo Basin),2.99881457899854,0.0538420201211052,72357,23.8231452823691,-32.5068793313863,56,0.12,Africa,deepening,other (new),tier1,0.657790909090909,0.194432651265127,arid,0.12
Central High Plains (High Plains),1.30278772180904,0.925677987272023,71803,-101.575915225444,36.747158501073,1301,0.45,N America,deepening,HP,tier1,0.652754545454546,0.257796980271105,semi-arid,0.45
