centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
JPL,226,60,DDK5,none,replaced,original,none,-0.592066380424433,31,0.592066380424433,0.592066380424433,163
GFZ,629,96,DDK8,Caron_2018,original,replaced,GravIS,-0.592066380424433,31,0.592066380424433,0.592066380424433,164
JPL,225,60,DDK5,none,replaced,replaced,GravIS,-0.591661271713913,31,0.591661271713913,0.591661271713913,165
CSR,321,96,G300,none,replaced,replaced,GravIS,-0.590851054292874,31,0.590851054292874,0.590851054292874,166
CSR,323,96,G300,none,replaced,original,GravIS,-0.590851054292874,31,0.590851054292874,0.590851054292874,167
GFZ,296,60,DDK8,Geruo_ICE5G_VM2,replaced,replaced,none,-0.590851054292874,31,0.590851054292874,0.590851054292874,168
JPL,545,96,DDK5,none,replaced,replaced,GravIS,-0.590243391227095,31,0.590243391227095,0.590243391227095,169
JPL,547,96,DDK5,none,replaced,original,GravIS,-0.590243391227095,31,0.590243391227095,0.590243391227095,170
CSR,605,96,DDK7,Peltier_ICE6G_D,original,replaced,GravIS,-0.589028065095536,31,0.589028065095536,0.589028065095536,171
CSR,607,96,DDK7,Peltier_ICE6G_D,original,original,GravIS,-0.589028065095536,31,0.589028065095536,0.589028065095536,172
CSR,324,96,G300,none,original,replaced,none,-0.588825510740276,31,0.588825510740276,0.588825510740276,173
CSR,326,96,G300,none,original,original,none,-0.588825510740276,31,0.588825510740276,0.588825510740276,174
JPL,267,60,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.588825510740276,31,0.588825510740276,0.588825510740276,175
GFZ,298,60,DDK8,Geruo_ICE5G_VM2,replaced,original,none,-0.588825510740276,31,0.588825510740276,0.588825510740276,176
JPL,301,60,DDK8,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.588622956385016,31,0.588622956385016,0.588622956385016,177
CSR,616,96,DDK8,Geruo_ICE5G_VM2,replaced,replaced,none,-0.588420402029756,31,0.588420402029756,0.588420402029756,178
